fileName,audioDir
6102604M,Atlantic Spotted Dolphin
6102604N,Atlantic Spotted Dolphin
6102604O,Atlantic Spotted Dolphin
6102604P,Atlantic Spotted Dolphin
6102604Q,Atlantic Spotted Dolphin
6102604R,Atlantic Spotted Dolphin
6102604S,Atlantic Spotted Dolphin
6102604T,Atlantic Spotted Dolphin
6102604U,Atlantic Spotted Dolphin
6102604V,Atlantic Spotted Dolphin
6102604W,Atlantic Spotted Dolphin
6102604X,Atlantic Spotted Dolphin
6102604Y,Atlantic Spotted Dolphin
6102604Z,Atlantic Spotted Dolphin
61026050,Atlantic Spotted Dolphin
61026051,Atlantic Spotted Dolphin
61026052,Atlantic Spotted Dolphin
61026053,Atlantic Spotted Dolphin
72006001,Atlantic Spotted Dolphin
72006002,Atlantic Spotted Dolphin
72006003,Atlantic Spotted Dolphin
72006004,Atlantic Spotted Dolphin
72006005,Atlantic Spotted Dolphin
72006006,Atlantic Spotted Dolphin
72006007,Atlantic Spotted Dolphin
66036001,Bearded Seal
66036002,Bearded Seal
66036003,Bearded Seal
66036004,Bearded Seal
66036005,Bearded Seal
66037001,Bearded Seal
66037002,Bearded Seal
66037003,Bearded Seal
66037004,Bearded Seal
66037005,Bearded Seal
66038001,Bearded Seal
66038002,Bearded Seal
66038003,Bearded Seal
66038004,Bearded Seal
66038005,Bearded Seal
66038006,Bearded Seal
66038007,Bearded Seal
66038008,Bearded Seal
66038009,Bearded Seal
6603800A,Bearded Seal
66039001,Bearded Seal
66039002,Bearded Seal
66039003,Bearded Seal
66039004,Bearded Seal
66039005,Bearded Seal
66039006,Bearded Seal
66039007,Bearded Seal
66039008,Bearded Seal
66039009,Bearded Seal
6603900A,Bearded Seal
6603900B,Bearded Seal
6603900C,Bearded Seal
6603900D,Bearded Seal
67027008,Bearded Seal
6702700A,Bearded Seal
6702700B,Bearded Seal
70024001,Bearded Seal
70024002,Bearded Seal
70024003,Bearded Seal
70024004,Bearded Seal
70024005,Bearded Seal
70024006,Bearded Seal
70024007,Bearded Seal
70024009,Bearded Seal
7002400A,Bearded Seal
70025001,Bearded Seal
70025002,Bearded Seal
70025003,Bearded Seal
70025004,Bearded Seal
70025005,Bearded Seal
70025006,Bearded Seal
70025007,Bearded Seal
70025008,Bearded Seal
70025009,Bearded Seal
7002500A,Bearded Seal
7002500B,Bearded Seal
71012001,Bearded Seal
71012002,Bearded Seal
71012003,Bearded Seal
71012004,Bearded Seal
71012005,Bearded Seal
71012006,Bearded Seal
71012007,Bearded Seal
71012008,Bearded Seal
71012009,Bearded Seal
7101200A,Bearded Seal
7101200B,Bearded Seal
7101200C,Bearded Seal
7101200D,Bearded Seal
7101200E,Bearded Seal
7101200F,Bearded Seal
7101200G,Bearded Seal
7101200H,Bearded Seal
7101200I,Bearded Seal
7101200J,Bearded Seal
72021001,Bearded Seal
72021002,Bearded Seal
72021003,Bearded Seal
72021004,Bearded Seal
72021005,Bearded Seal
72021006,Bearded Seal
72021007,Bearded Seal
72021008,Bearded Seal
72021009,Bearded Seal
7202100A,Bearded Seal
7202100B,Bearded Seal
7202100D,Bearded Seal
7202100E,Bearded Seal
7202100F,Bearded Seal
7202100G,Bearded Seal
7202100H,Bearded Seal
7202100I,Bearded Seal
7202100J,Bearded Seal
7202100K,Bearded Seal
7202100O,Bearded Seal
7202100P,Bearded Seal
7202100S,Bearded Seal
7202100T,Bearded Seal
7202100U,Bearded Seal
7202100V,Bearded Seal
7202100W,Bearded Seal
7202100X,Bearded Seal
7202100Y,Bearded Seal
7202100Z,Bearded Seal
72021011,Bearded Seal
72021012,Bearded Seal
72021015,Bearded Seal
72021016,Bearded Seal
72021017,Bearded Seal
72021018,Bearded Seal
72021019,Bearded Seal
72021020,Bearded Seal
72021021,Bearded Seal
72021022,Bearded Seal
72021023,Bearded Seal
72021024,Bearded Seal
72021025,Bearded Seal
72021026,Bearded Seal
72021027,Bearded Seal
72021028,Bearded Seal
78018001,Bearded Seal
78018002,Bearded Seal
78018003,Bearded Seal
78018004,Bearded Seal
78018005,Bearded Seal
78018006,Bearded Seal
78018007,Bearded Seal
78018008,Bearded Seal
78018009,Bearded Seal
7801800A,Bearded Seal
7801800B,Bearded Seal
7801800C,Bearded Seal
7801800D,Bearded Seal
7801800E,Bearded Seal
7801800F,Bearded Seal
7801800G,Bearded Seal
7801800H,Bearded Seal
7801800I,Bearded Seal
7801800J,Bearded Seal
7801800K,Bearded Seal
7801800L,Bearded Seal
7801800M,Bearded Seal
49001001,"Beluga, White Whale"
49001002,"Beluga, White Whale"
49001003,"Beluga, White Whale"
62012001,"Beluga, White Whale"
62012002,"Beluga, White Whale"
62017001,"Beluga, White Whale"
62017002,"Beluga, White Whale"
62017003,"Beluga, White Whale"
62017004,"Beluga, White Whale"
62017005,"Beluga, White Whale"
62017006,"Beluga, White Whale"
62017007,"Beluga, White Whale"
62017008,"Beluga, White Whale"
62017009,"Beluga, White Whale"
6201700A,"Beluga, White Whale"
6201700B,"Beluga, White Whale"
6201700C,"Beluga, White Whale"
6201700D,"Beluga, White Whale"
6201700E,"Beluga, White Whale"
6201700F,"Beluga, White Whale"
6201700G,"Beluga, White Whale"
6201700H,"Beluga, White Whale"
6201700I,"Beluga, White Whale"
62018001,"Beluga, White Whale"
62018002,"Beluga, White Whale"
62019001,"Beluga, White Whale"
62019003,"Beluga, White Whale"
62019004,"Beluga, White Whale"
62019005,"Beluga, White Whale"
62019006,"Beluga, White Whale"
62019007,"Beluga, White Whale"
62022001,"Beluga, White Whale"
62022002,"Beluga, White Whale"
62022003,"Beluga, White Whale"
62022004,"Beluga, White Whale"
62022005,"Beluga, White Whale"
62022006,"Beluga, White Whale"
62022007,"Beluga, White Whale"
62022008,"Beluga, White Whale"
62022009,"Beluga, White Whale"
6202200A,"Beluga, White Whale"
6202200B,"Beluga, White Whale"
6202200C,"Beluga, White Whale"
6202200D,"Beluga, White Whale"
6202200E,"Beluga, White Whale"
6202200F,"Beluga, White Whale"
6202200G,"Beluga, White Whale"
6202200H,"Beluga, White Whale"
6202200I,"Beluga, White Whale"
6202200J,"Beluga, White Whale"
6202200K,"Beluga, White Whale"
6202200L,"Beluga, White Whale"
6202200M,"Beluga, White Whale"
6202200N,"Beluga, White Whale"
6202200O,"Beluga, White Whale"
6202200P,"Beluga, White Whale"
6202200Q,"Beluga, White Whale"
6202200R,"Beluga, White Whale"
6202200S,"Beluga, White Whale"
6202200T,"Beluga, White Whale"
6202200U,"Beluga, White Whale"
6202200V,"Beluga, White Whale"
6202200W,"Beluga, White Whale"
6202200X,"Beluga, White Whale"
6202200Y,"Beluga, White Whale"
6202200Z,"Beluga, White Whale"
62022010,"Beluga, White Whale"
62022011,"Beluga, White Whale"
62022012,"Beluga, White Whale"
62022013,"Beluga, White Whale"
62022014,"Beluga, White Whale"
62022015,"Beluga, White Whale"
62022016,"Beluga, White Whale"
62022017,"Beluga, White Whale"
62022018,"Beluga, White Whale"
62022019,"Beluga, White Whale"
6202201A,"Beluga, White Whale"
62026001,"Beluga, White Whale"
62026002,"Beluga, White Whale"
62026003,"Beluga, White Whale"
62026004,"Beluga, White Whale"
62026005,"Beluga, White Whale"
62026006,"Beluga, White Whale"
62026007,"Beluga, White Whale"
62026008,"Beluga, White Whale"
62026009,"Beluga, White Whale"
6202600A,"Beluga, White Whale"
6202600B,"Beluga, White Whale"
6202600C,"Beluga, White Whale"
6202600D,"Beluga, White Whale"
63015001,"Beluga, White Whale"
63015002,"Beluga, White Whale"
63015003,"Beluga, White Whale"
63015004,"Beluga, White Whale"
63015005,"Beluga, White Whale"
63015006,"Beluga, White Whale"
63015007,"Beluga, White Whale"
65030001,"Beluga, White Whale"
65030002,"Beluga, White Whale"
65030003,"Beluga, White Whale"
65030004,"Beluga, White Whale"
65030005,"Beluga, White Whale"
65030006,"Beluga, White Whale"
65030007,"Beluga, White Whale"
65030008,"Beluga, White Whale"
65030009,"Beluga, White Whale"
6503000A,"Beluga, White Whale"
6503000B,"Beluga, White Whale"
6503000C,"Beluga, White Whale"
6503000D,"Beluga, White Whale"
6503000E,"Beluga, White Whale"
6503000F,"Beluga, White Whale"
6503000G,"Beluga, White Whale"
6503000H,"Beluga, White Whale"
6503000I,"Beluga, White Whale"
6503000J,"Beluga, White Whale"
6503000K,"Beluga, White Whale"
65031001,"Beluga, White Whale"
65031002,"Beluga, White Whale"
65031003,"Beluga, White Whale"
65031004,"Beluga, White Whale"
65031005,"Beluga, White Whale"
65031006,"Beluga, White Whale"
65031007,"Beluga, White Whale"
65031008,"Beluga, White Whale"
65031009,"Beluga, White Whale"
65033001,"Beluga, White Whale"
65033002,"Beluga, White Whale"
65033003,"Beluga, White Whale"
65033004,"Beluga, White Whale"
65033005,"Beluga, White Whale"
65033006,"Beluga, White Whale"
65033007,"Beluga, White Whale"
65033008,"Beluga, White Whale"
65033009,"Beluga, White Whale"
6503300A,"Beluga, White Whale"
6503300B,"Beluga, White Whale"
6503300C,"Beluga, White Whale"
6503300D,"Beluga, White Whale"
6503300E,"Beluga, White Whale"
6503300F,"Beluga, White Whale"
6503300G,"Beluga, White Whale"
6503300H,"Beluga, White Whale"
6503300I,"Beluga, White Whale"
6503300J,"Beluga, White Whale"
6503300K,"Beluga, White Whale"
68004001,"Beluga, White Whale"
68004002,"Beluga, White Whale"
68004003,"Beluga, White Whale"
68004004,"Beluga, White Whale"
74008001,Blue Whale
74008002,Blue Whale
74008003,Blue Whale
51041C01,Bottlenose Dolphin
51041C02,Bottlenose Dolphin
56006001,Bottlenose Dolphin
56006002,Bottlenose Dolphin
56006003,Bottlenose Dolphin
56006004,Bottlenose Dolphin
56006005,Bottlenose Dolphin
56006006,Bottlenose Dolphin
56006007,Bottlenose Dolphin
56006008,Bottlenose Dolphin
56006009,Bottlenose Dolphin
5600600A,Bottlenose Dolphin
5600600B,Bottlenose Dolphin
5600600C,Bottlenose Dolphin
5600600D,Bottlenose Dolphin
5600600E,Bottlenose Dolphin
5600600G,Bottlenose Dolphin
5600600H,Bottlenose Dolphin
84228001,Bottlenose Dolphin
84228002,Bottlenose Dolphin
84228003,Bottlenose Dolphin
84228004,Bottlenose Dolphin
84228005,Bottlenose Dolphin
84228006,Bottlenose Dolphin
84228A01,Bottlenose Dolphin
84228A02,Bottlenose Dolphin
84228A03,Bottlenose Dolphin
84228A04,Bottlenose Dolphin
84228A05,Bottlenose Dolphin
84228A06,Bottlenose Dolphin
84228A07,Bottlenose Dolphin
84228A08,Bottlenose Dolphin
84228A09,Bottlenose Dolphin
84228A0A,Bottlenose Dolphin
84228A0B,Bottlenose Dolphin
84228A0C,Bottlenose Dolphin
84228A0E,Bottlenose Dolphin
84228A0F,Bottlenose Dolphin
84228A0G,Bottlenose Dolphin
84228A0H,Bottlenose Dolphin
84228A0I,Bottlenose Dolphin
84228A0J,Bottlenose Dolphin
84228A0K,Bottlenose Dolphin
84228A0L,Bottlenose Dolphin
89506001,Bottlenose Dolphin
89506004,Bottlenose Dolphin
89506005,Bottlenose Dolphin
89514001,Bottlenose Dolphin
89514002,Bottlenose Dolphin
89514003,Bottlenose Dolphin
89514004,Bottlenose Dolphin
89514005,Bottlenose Dolphin
89514010,Bottlenose Dolphin
89514011,Bottlenose Dolphin
89514012,Bottlenose Dolphin
89514013,Bottlenose Dolphin
89514014,Bottlenose Dolphin
89514015,Bottlenose Dolphin
89514016,Bottlenose Dolphin
89514017,Bottlenose Dolphin
89514018,Bottlenose Dolphin
90033001,Bottlenose Dolphin
90033002,Bottlenose Dolphin
90033003,Bottlenose Dolphin
90033004,Bottlenose Dolphin
90033005,Bottlenose Dolphin
94201048,Bottlenose Dolphin
94201049,Bottlenose Dolphin
9420104A,Bottlenose Dolphin
9420104B,Bottlenose Dolphin
9420104C,Bottlenose Dolphin
9420104D,Bottlenose Dolphin
9420104F,Bottlenose Dolphin
9420104G,Bottlenose Dolphin
9420104H,Bottlenose Dolphin
9420104I,Bottlenose Dolphin
9420104J,Bottlenose Dolphin
9420104K,Bottlenose Dolphin
9420104L,Bottlenose Dolphin
9420104M,Bottlenose Dolphin
9420104N,Bottlenose Dolphin
9420104O,Bottlenose Dolphin
9420104P,Bottlenose Dolphin
9420104Q,Bottlenose Dolphin
9420104R,Bottlenose Dolphin
9420104S,Bottlenose Dolphin
9420104T,Bottlenose Dolphin
9420104U,Bottlenose Dolphin
9420104V,Bottlenose Dolphin
9420104W,Bottlenose Dolphin
9420104X,Bottlenose Dolphin
9420104Y,Bottlenose Dolphin
9420104Z,Bottlenose Dolphin
94201050,Bottlenose Dolphin
94201051,Bottlenose Dolphin
94201052,Bottlenose Dolphin
94201053,Bottlenose Dolphin
94201054,Bottlenose Dolphin
94201055,Bottlenose Dolphin
94201056,Bottlenose Dolphin
94201057,Bottlenose Dolphin
94201058,Bottlenose Dolphin
94201059,Bottlenose Dolphin
9420105A,Bottlenose Dolphin
9420105B,Bottlenose Dolphin
9420105C,Bottlenose Dolphin
9420105D,Bottlenose Dolphin
9420105E,Bottlenose Dolphin
9420105F,Bottlenose Dolphin
9420105G,Bottlenose Dolphin
9420105H,Bottlenose Dolphin
9420105I,Bottlenose Dolphin
9420105J,Bottlenose Dolphin
9420105K,Bottlenose Dolphin
9420105L,Bottlenose Dolphin
9420105M,Bottlenose Dolphin
9420105N,Bottlenose Dolphin
9420105O,Bottlenose Dolphin
9420105P,Bottlenose Dolphin
9420105Q,Bottlenose Dolphin
9420105R,Bottlenose Dolphin
9420105S,Bottlenose Dolphin
9420105T,Bottlenose Dolphin
9420105U,Bottlenose Dolphin
9420105V,Bottlenose Dolphin
9420105W,Bottlenose Dolphin
9420105X,Bottlenose Dolphin
9420105Y,Bottlenose Dolphin
9420105Z,Bottlenose Dolphin
94201060,Bottlenose Dolphin
94201061,Bottlenose Dolphin
94201062,Bottlenose Dolphin
94201063,Bottlenose Dolphin
94201064,Bottlenose Dolphin
94201065,Bottlenose Dolphin
94201066,Bottlenose Dolphin
94201067,Bottlenose Dolphin
94201068,Bottlenose Dolphin
94201069,Bottlenose Dolphin
9420106A,Bottlenose Dolphin
9420106B,Bottlenose Dolphin
9420106C,Bottlenose Dolphin
9420106D,Bottlenose Dolphin
9420106E,Bottlenose Dolphin
9420106F,Bottlenose Dolphin
9420106G,Bottlenose Dolphin
9420106H,Bottlenose Dolphin
9420106I,Bottlenose Dolphin
9420106J,Bottlenose Dolphin
9420106K,Bottlenose Dolphin
9420106L,Bottlenose Dolphin
9420106M,Bottlenose Dolphin
9420106N,Bottlenose Dolphin
9420106O,Bottlenose Dolphin
9420106P,Bottlenose Dolphin
9420106Q,Bottlenose Dolphin
9420106R,Bottlenose Dolphin
9420106S,Bottlenose Dolphin
9420106T,Bottlenose Dolphin
9420106U,Bottlenose Dolphin
9420106V,Bottlenose Dolphin
9420106W,Bottlenose Dolphin
9420106X,Bottlenose Dolphin
9420106Y,Bottlenose Dolphin
9420106Z,Bottlenose Dolphin
94201070,Bottlenose Dolphin
94201071,Bottlenose Dolphin
94201072,Bottlenose Dolphin
94201073,Bottlenose Dolphin
94201074,Bottlenose Dolphin
94201075,Bottlenose Dolphin
94201076,Bottlenose Dolphin
94201077,Bottlenose Dolphin
94201078,Bottlenose Dolphin
94201079,Bottlenose Dolphin
9420107A,Bottlenose Dolphin
9420107B,Bottlenose Dolphin
9420107C,Bottlenose Dolphin
9420107D,Bottlenose Dolphin
9420107E,Bottlenose Dolphin
9420107F,Bottlenose Dolphin
9420107G,Bottlenose Dolphin
9420107H,Bottlenose Dolphin
9420107I,Bottlenose Dolphin
9420107J,Bottlenose Dolphin
9420107K,Bottlenose Dolphin
9420107L,Bottlenose Dolphin
9420107M,Bottlenose Dolphin
9420107N,Bottlenose Dolphin
56048001,"Boutu, Amazon River Dolphin"
56048002,"Boutu, Amazon River Dolphin"
56048003,"Boutu, Amazon River Dolphin"
56048004,"Boutu, Amazon River Dolphin"
56048005,"Boutu, Amazon River Dolphin"
56048006,"Boutu, Amazon River Dolphin"
56048007,"Boutu, Amazon River Dolphin"
56048008,"Boutu, Amazon River Dolphin"
56048009,"Boutu, Amazon River Dolphin"
5604800A,"Boutu, Amazon River Dolphin"
5604800B,"Boutu, Amazon River Dolphin"
5604800C,"Boutu, Amazon River Dolphin"
5604800D,"Boutu, Amazon River Dolphin"
5604800E,"Boutu, Amazon River Dolphin"
5604800F,"Boutu, Amazon River Dolphin"
5604800G,"Boutu, Amazon River Dolphin"
5604800H,"Boutu, Amazon River Dolphin"
5604800I,"Boutu, Amazon River Dolphin"
5604800J,"Boutu, Amazon River Dolphin"
5604800K,"Boutu, Amazon River Dolphin"
5604800L,"Boutu, Amazon River Dolphin"
5604800M,"Boutu, Amazon River Dolphin"
5604800N,"Boutu, Amazon River Dolphin"
5604800O,"Boutu, Amazon River Dolphin"
5604800P,"Boutu, Amazon River Dolphin"
5604800Q,"Boutu, Amazon River Dolphin"
5604800R,"Boutu, Amazon River Dolphin"
5604800S,"Boutu, Amazon River Dolphin"
66014001,"Boutu, Amazon River Dolphin"
66014002,"Boutu, Amazon River Dolphin"
72021001,Bowhead Whale
72021002,Bowhead Whale
72021003,Bowhead Whale
72021004,Bowhead Whale
72021005,Bowhead Whale
72021006,Bowhead Whale
72021007,Bowhead Whale
72021008,Bowhead Whale
72021009,Bowhead Whale
7202100A,Bowhead Whale
7202100B,Bowhead Whale
7202100C,Bowhead Whale
7202100D,Bowhead Whale
7202100E,Bowhead Whale
7202100F,Bowhead Whale
7202100G,Bowhead Whale
7202100H,Bowhead Whale
7202100I,Bowhead Whale
7202100J,Bowhead Whale
7202100K,Bowhead Whale
7202100L,Bowhead Whale
7202100M,Bowhead Whale
7202100N,Bowhead Whale
7202100O,Bowhead Whale
7202100P,Bowhead Whale
7202100Q,Bowhead Whale
7202100R,Bowhead Whale
7202100S,Bowhead Whale
7202100T,Bowhead Whale
7202100U,Bowhead Whale
7202100V,Bowhead Whale
7202100W,Bowhead Whale
7202100X,Bowhead Whale
7202100Y,Bowhead Whale
7202100Z,Bowhead Whale
72021011,Bowhead Whale
72021012,Bowhead Whale
72021013,Bowhead Whale
72021014,Bowhead Whale
72021015,Bowhead Whale
72021016,Bowhead Whale
72021017,Bowhead Whale
72021018,Bowhead Whale
72021019,Bowhead Whale
72021020,Bowhead Whale
72021021,Bowhead Whale
72021022,Bowhead Whale
72021023,Bowhead Whale
72021024,Bowhead Whale
72021025,Bowhead Whale
72021026,Bowhead Whale
72021027,Bowhead Whale
72021028,Bowhead Whale
78018002,Bowhead Whale
78018003,Bowhead Whale
78018004,Bowhead Whale
78018006,Bowhead Whale
78018007,Bowhead Whale
78018008,Bowhead Whale
78018009,Bowhead Whale
7801800A,Bowhead Whale
7801800B,Bowhead Whale
7801800C,Bowhead Whale
7801800D,Bowhead Whale
7801800E,Bowhead Whale
7801800F,Bowhead Whale
7801800G,Bowhead Whale
7801800H,Bowhead Whale
7801800I,Bowhead Whale
7801800J,Bowhead Whale
7801800K,Bowhead Whale
7801800L,Bowhead Whale
80001001,Bowhead Whale
80001002,Bowhead Whale
80001003,Bowhead Whale
80001004,Bowhead Whale
80001005,Bowhead Whale
80001006,Bowhead Whale
